h,0.75,0.85,0.95,1.00
0.7676767676767677,"(-0.02155776748428007, 0.019445105293129702)","(-0.0244616034986963, 0.025662654995104537)","(-0.029386241152088974, 0.039079919463189)","(-0.042790499316061, 0.08473250937989821)"
0.7777777777777778,"(-0.021456142632385596, 0.019353439681329795)","(-0.024346289756933894, 0.02554167941101411)","(-0.029247712317552008, 0.03889569393842673)","(-0.04258878185349647, 0.0843330742935583)"
0.787878787878788,"(-0.02135547141855837, 0.01926263425102329)","(-0.024232058108495814, 0.025421839050444747)","(-0.029110483424589984, 0.0387131971686894)","(-0.04238895728865865, 0.08393738746856023)"
0.797979797979798,"(-0.02125574048221053, 0.01917267695096055)","(-0.024118893393120094, 0.025303118008773825)","(-0.028974536260859867, 0.03853240493390423)","(-0.04219099910181513, 0.08354539639129671)"
0.8080808080808082,"(-0.021156936711172084, 0.019083555953964833)","(-0.024006780732424553, 0.025185500677098644)","(-0.02883985295264677, 0.038353293464330335)","(-0.04199488126632368, 0.08315704952456345)"
0.8181818181818182,"(-0.021059047235944005, 0.018995259651748603)","(-0.02389570552338582, 0.025068971735395296)","(-0.02870641595703016, 0.03817583943014072)","(-0.04180057823722519, 0.08277229628497104)"
0.8282828282828284,"(-0.020962059424110047, 0.01890777664987298)","(-0.023785653431998417, 0.024953516145866377)","(-0.02857420805426637, 0.03800001993129207)","(-0.04160806494015148, 0.08239108702098073)"
0.8383838383838385,"(-0.020865960874902393, 0.01882109576284595)","(-0.023676610387108367, 0.024839119146471866)","(-0.028443212340380816, 0.037825812487673284)","(-0.04141731676053857, 0.08201337299154472)"
0.8484848484848485,"(-0.020770739413915985, 0.01873520600935471)","(-0.023568562574415586, 0.024725766244637026)","(-0.028313412219962912, 0.03765319502952371)","(-0.041228309533135075, 0.08163910634533092)"
0.8585858585858587,"(-0.02067638308796701, 0.018650096607627994)","(-0.02346149643063977, 0.024613443211131823)","(-0.028184791399157437, 0.037482145888112516)","(-0.04104101953179659, 0.08126824010051434)"
0.8686868686868687,"(-0.020582880160090838, 0.018565756970924246)","(-0.023355398637844572, 0.024502136074116446)","(-0.02805733387884606, 0.03731264378667099)","(-0.040855423459557075, 0.08090072812511646)"
0.8787878787878789,"(-0.02049021910467509, 0.018482176703141617)","(-0.023250256117915105, 0.02439183111334764)","(-0.027931023948013015, 0.03714466783156979)","(-0.040671498438968355, 0.08053652511787597)"
0.888888888888889,"(-0.020398388602723572, 0.018399345594546056)","(-0.023146056027183896, 0.024282514854540804)","(-0.02780584617728919, 0.036978197503733365)","(-0.04048922200269937, 0.08017558658963357)"
0.8989898989898991,"(-0.02030737753724703, 0.018317253617613764)","(-0.0230427857512008, 0.024174174063883124)","(-0.027681785412669087, 0.03681321265028433)","(-0.0403085720843872, 0.07981786884521552)"
0.9090909090909092,"(-0.020217174988776673, 0.01823589092298438)","(-0.022940432899642173, 0.02406679574269277)","(-0.027558826769395108, 0.036649693476410394)","(-0.04012952700973175, 0.0794633289657995)"
0.9191919191919192,"(-0.020127770230996822, 0.01815524783552165)","(-0.022838985301355273, 0.023960367122219974)","(-0.027436955626004282, 0.036487620537447196)","(-0.03995206548782689, 0.07911192479174887)"
0.9292929292929294,"(-0.020039152726492843, 0.018075314850478058)","(-0.02273843099953339, 0.0238548756585853)","(-0.02731615761853207, 0.0363269747311702)","(-0.03977616660272046, 0.07876361490589998)"
0.9393939393939394,"(-0.019951312122611004, 0.017996082629760397)","(-0.022638758247018064, 0.023750309027851153)","(-0.0271964186348688, 0.03616773729028939)","(-0.03960180980519636, 0.07841835861728932)"
0.9494949494949496,"(-0.01986423824742665, 0.017917541998293096)","(-0.022539955501724156, 0.023646655121222264)","(-0.027077724809263702, 0.03600988977514045)","(-0.03942897490477173, 0.0780761159453066)"
0.9595959595959597,"(-0.019777921105817595, 0.017839683940476397)","(-0.022442011422184324, 0.023543902040371382)","(-0.026960062516972427, 0.03585341406656652)","(-0.039257642061902916, 0.07773684760426115)"
0.9696969696969697,"(-0.019692350875639354, 0.017762499596736415)","(-0.022344914863209064, 0.02344203809288623)","(-0.026843418369043328, 0.03569829235898476)","(-0.03908779178039361, 0.07740051498834882)"
0.9797979797979799,"(-0.01960751790399929, 0.017685980260164436)","(-0.022248654871658984, 0.02334105178783419)","(-0.026727779207238605, 0.03554450715363202)","(-0.03891940489999931, 0.0770670801570075)"
0.98989898989899,"(-0.01952341270362665, 0.017610117373242664)","(-0.022153220682325878, 0.02324093183144116)","(-0.026613132099086178, 0.03539204125198451)","(-0.03875246258922214, 0.07673650582064964)"
1.0,"(-0.019440025949335592, 0.017534902524653898)","(-0.022058601713919317, 0.02314166712288108)","(-0.026499464333058276, 0.03524087774934596)","(-0.03858694633829022, 0.0764087553267602)"
